2026-07-14 12:14:12,362 | INFO | SqFtPerBedroom feature created successfully.
2026-07-14 12:14:12,363 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-14 12:14:12,364 | INFO | TotalRooms feature created successfully.
2026-07-14 12:14:12,364 | INFO | Features and target created successfully.
2026-07-14 12:14:12,368 | INFO | Train-test split completed successfully.
2026-07-14 12:14:12,379 | INFO | Linear Regression model trained successfully.
2026-07-14 12:14:12,389 | INFO | Linear Regression evaluated successfully.
2026-07-14 12:14:12,401 | INFO | Decision tree regression model trained successfully.
2026-07-14 12:14:12,425 | INFO | Decision Tree evaluated successfully.
2026-07-14 12:14:12,725 | INFO | Random Forest regression model trained successfully.
2026-07-14 12:14:12,757 | INFO | Random Forest Regressor evaluated successfully.
2026-07-14 12:14:12,759 | INFO | KNN model trained successfully.
2026-07-14 12:14:12,775 | INFO | KNN Regression evaluated successfully.
2026-07-14 12:14:12,776 | INFO | Best model selected: Linear Regression
2026-07-14 12:14:12,787 | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-14 12:14:12,796 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-14 12:17:19,915 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-14 12:17:19,928 | INFO | Dataset information displayed successfully.
2026-07-14 12:17:19,930 | INFO | Missing values checked successfully
2026-07-14 12:17:19,945 | INFO | Missing values handled successfully.
2026-07-14 12:17:19,947 | INFO | Duplicate rows checked successfully
2026-07-14 12:17:19,948 | INFO | Duplicate rows removed successfully
2026-07-14 12:17:20,002 | INFO | Categorical columns encoded successfully.
2026-07-14 12:17:20,005 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-14 12:17:20,005 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-14 12:17:20,006 | INFO | SqFtPerBedroom feature created successfully.
2026-07-14 12:17:20,007 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-14 12:17:20,008 | INFO | TotalRooms feature created successfully.
2026-07-14 12:17:20,009 | INFO | Features and target created successfully.
2026-07-14 12:17:20,013 | INFO | Train-test split completed successfully.
2026-07-14 12:17:20,138 | INFO | Linear Regression model trained successfully.
2026-07-14 12:17:20,148 | INFO | Linear Regression evaluated successfully.
2026-07-14 12:17:20,155 | INFO | Decision tree regression model trained successfully.
2026-07-14 12:17:20,164 | INFO | Decision Tree evaluated successfully.
2026-07-14 12:17:20,399 | INFO | Random Forest regression model trained successfully.
2026-07-14 12:17:20,424 | INFO | Random Forest Regressor evaluated successfully.
2026-07-14 12:17:20,427 | INFO | KNN model trained successfully.
2026-07-14 12:17:20,446 | INFO | KNN Regression evaluated successfully.
2026-07-14 12:17:20,446 | INFO | Best model selected: Linear Regression
2026-07-14 12:17:20,458 | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
